,Datetime,Tweet Id,Text,Username,Month
107,2020-11-10 20:46:56+00:00,1326265103960911872,"If I were actually as all-commandingly powerful as Republicans say I am, everybody in this country would have guaranteed healthcare by now. https://t.co/R2bHiMP4Rs",AOC,11
108,2020-11-10 20:37:53+00:00,1326262827447963652,@dianelyssa @laurenhtexas Ok!,AOC,11
109,2020-11-10 20:35:37+00:00,1326262258482225154,@Grace4NY 💞,AOC,11
110,2020-11-10 18:48:09+00:00,1326235214092365826,"Again, neither of us is saying GOP messaging didn’t hurt. And no one is telling folks in tough seats to adopt activist messaging.

We are saying the messaging hurt to the extent that it did because our operations &amp; investments are not great and it makes the party vulnerable.",AOC,11
111,2020-11-10 18:42:04+00:00,1326233680319303681,"For the Dems who think I’m just being a selfish, divisive bombthrower from a deep blue seat, maybe you’ll listen to Doug Jones in Alabama when he says the same thing ⬇️ https://t.co/nSa3GhpeeR",AOC,11
112,2020-11-10 00:18:52+00:00,1325956050286239744,"Fantasy sports: presidential admin edition. 

Who’s in your dream cabinet? ⬇️",AOC,11
113,2020-11-09 16:32:22+00:00,1325838653701156867,We must govern with integrity and accountability. Laquan McDonald’s life mattered. https://t.co/wDlIVe5zPl,AOC,11
114,2020-11-09 16:23:53+00:00,1325836517537943554,@coachbenalbert I agree! Prioritizing state legislatures and fighting for census integrity are critical to changing this entire dynamic - the entire House being gerrymandered for GOP favorability has shifted both parties to the right.,AOC,11
115,2020-11-08 21:28:21+00:00,1325550750030827523,"@kurteichenwald @christoq My district is 75% working class people of color, so I’m pretty sure they are part of the Dem base.

Also you’ve publicly made a big show of unfollowing and disengaging, so why are you still all up in my mentions upset for pointing out our party isn’t on the internet in 2020?",AOC,11
116,2020-11-08 19:32:10+00:00,1325521515421569029,"@JakeSherman (To be fair, with all the caucus leaks from day 1, speaking in the caucus is largely acknowledged as pretty much speaking in the media - just indirectly.)",AOC,11
117,2020-11-08 18:40:27+00:00,1325508498994638848,"Except the argument here isn’t ideological- are purple communities not on the internet? You can run a moderate message &amp; not change it at all &amp; my message still applies.

Dems must run like it’s 2020, not like it’s 2005. That has nothing to do with ideology. It’s about capacity. https://t.co/XhGbzs9Cmo",AOC,11
118,2020-11-08 01:08:57+00:00,1325243881571676160,As Bronxites do I went to Orchard Beach to celebrate and this lady said over the speaker “traiga la agua bendita porque Joe Biden is president” 😂🇵🇷🇵🇷🇵🇷 https://t.co/rJOx1VaRvE,AOC,11
119,2020-11-08 01:00:03+00:00,1325241642127929348,"This makes me so happy.

Thank you to every @USPS worker in the country! We love you! 💌 https://t.co/7QV1V0W9kN",AOC,11
